well,sample_id,treatment,conc_uM,od595,time_h
A1,U87_1,blank,0,0.0626,48
A2,U87_1,DMSO,0,1.1897,48
A3,U87_1,TMZ,50,1.7363,48
A4,U87_1,TMZ,100,1.0485,48
A5,U87_1,NanA,1,1.1118,48
A6,U87_1,NanA,5,1.2311,48
A7,U87_1,TMZ+NanA,50,0.627,48
A8,U87_1,TMZ+NanA,100,1.1179,48
B1,U87_2,blank,0,0.0715,48
B2,U87_2,DMSO,0,1.5395,48
B3,U87_2,TMZ,50,0.4912,48
B5,U87_2,NanA,1,0.486,48
B6,U87_2,NanA,5,1.5645,48
B7,U87_2,TMZ+NanA,50,1.3902,48
B8,U87_2,TMZ+NanA,100,0.4128,48
C2,U87_3,DMSO,0,1.7971,48
C3,U87_3,TMZ,50,1.3309,48
C4,U87_3,TMZ,100,1.2733,48
C5,U87_3,NanA,1,0.5862,48
C6,U87_3,NanA,5,0.3725,48
C7,U87_3,TMZ+NanA,50,1.1426,48
C8,U87_3,TMZ+NanA,100,0.4393,48
D1,U87_4,blank,0,0.0495,48
D2,U87_4,DMSO,0,0.7129,48
D3,U87_4,TMZ,50,0.3951,48
D4,U87_4,TMZ,100,1.0459,48
D5,U87_4,NanA,1,1.0108,48
D6,U87_4,NanA,5,1.6136,48
D7,U87_4,TMZ+NanA,50,1.1287,48
D8,U87_4,TMZ+NanA,100,1.3104,48
