well,sample_id,treatment,conc_uM
A1,U87_1,blank,0
A2,U87_1,DMSO,0
A3,U87_1,TMZ,50
A4,U87_1,TMZ,100
A5,U87_1,NanA,1
A6,U87_1,NanA,5
A7,U87_1,TMZ+NanA,50
A8,U87_1,TMZ+NanA,100
B1,U87_2,blank,0
B2,U87_2,DMSO,0
B3,U87_2,TMZ,50
B4,U87_2,TMZ,100
B5,U87_2,NanA,1
B6,U87_2,NanA,5
B7,U87_2,TMZ+NanA,50
B8,U87_2,TMZ+NanA,100
C1,U87_3,blank,0
C2,U87_3,DMSO,0
C3,U87_3,TMZ,50
C4,U87_3,TMZ,100
C5,U87_3,NanA,1
C6,U87_3,NanA,5
C7,U87_3,TMZ+NanA,50
C8,U87_3,TMZ+NanA,100
D1,U87_4,blank,0
D2,U87_4,DMSO,0
D3,U87_4,TMZ,50
D4,U87_4,TMZ,100
D5,U87_4,NanA,1
D6,U87_4,NanA,5
D7,U87_4,TMZ+NanA,50
D8,U87_4,TMZ+NanA,100
