pmid,title,abstract,year,journal,gold
30000000,Effect of selamectin on Caenorhabditis elegans: a study of mitochondrial depolarisation,We investigated selamectin in Caenorhabditis elegans. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2022,Oncol Rep,0
30000001,Effect of praziquantel on MCF-7 breast cancer cells: a study of PAK1 downregulation,We investigated praziquantel in MCF-7 breast cancer cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2022,PLOS ONE,0
30000002,Effect of ivermectin on Onchocerca volvulus: a study of PAK1 downregulation,We investigated ivermectin in Onchocerca volvulus. The work focuses on PAK1 downregulation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2024,Br J Cancer,0
30000003,Effect of praziquantel on Onchocerca volvulus: a study of mitochondrial depolarisation,We investigated praziquantel in Onchocerca volvulus. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2025,J Pharm Sci,0
30000004,Effect of albendazole on murine scabies: a study of WNT signalling inhibition,We investigated albendazole in murine scabies. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2025,Parasitology,0
30000005,Effect of albendazole on U87MG glioblastoma cells: a study of WNT signalling inhibition,We investigated albendazole in U87MG glioblastoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2024,Parasitology,0
30000006,Effect of niclosamide on U87MG glioblastoma cells: a study of pharmacokinetics,We investigated niclosamide in U87MG glioblastoma cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000007,Effect of chloroquine on MCF-7 breast cancer cells: a study of PAK1 downregulation,We investigated chloroquine in MCF-7 breast cancer cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2024,Br J Cancer,0
30000008,Effect of ivermectin on U87MG glioblastoma cells: a study of PAK1 downregulation,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2023,Br J Cancer,1
30000009,Effect of selamectin on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated selamectin in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2019,Br J Cancer,0
30000010,Effect of ivermectin on Huh7 hepatocellular carcinoma cells: a study of mass drug administration,We investigated ivermectin in Huh7 hepatocellular carcinoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2022,PLOS ONE,0
30000011,Effect of praziquantel on healthy volunteers: a study of PAK1 downregulation,We investigated praziquantel in healthy volunteers. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2016,J Pharm Sci,0
30000012,Effect of selamectin on Huh7 hepatocellular carcinoma cells: a study of formulation stability,We investigated selamectin in Huh7 hepatocellular carcinoma cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2016,J Pharm Sci,0
30000013,Effect of ivermectin on MCF-7 breast cancer cells: a study of protein kinase C activation,We investigated ivermectin in MCF-7 breast cancer cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2016,Parasitology,1
30000014,Effect of albendazole on Onchocerca volvulus: a study of resistance surveillance,We investigated albendazole in Onchocerca volvulus. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2026,Br J Cancer,0
30000015,Effect of albendazole on healthy volunteers: a study of pharmacokinetics,We investigated albendazole in healthy volunteers. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2015,Oncol Rep,0
30000016,Effect of selamectin on Onchocerca volvulus: a study of mass drug administration,We investigated selamectin in Onchocerca volvulus. The work focuses on mass drug administration. Results are reported with appropriate controls.,2021,Br J Cancer,0
30000017,Effect of moxidectin on HepG2 cells: a study of WNT signalling inhibition,We investigated moxidectin in HepG2 cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2018,J Pharm Sci,1
30000018,Effect of praziquantel on Caenorhabditis elegans: a study of WNT signalling inhibition,We investigated praziquantel in Caenorhabditis elegans. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2021,Oncol Rep,0
30000019,Effect of moxidectin on Anopheles gambiae: a study of resistance surveillance,We investigated moxidectin in Anopheles gambiae. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2021,Br J Cancer,0
30000020,Effect of moxidectin on HepG2 cells: a study of mitochondrial depolarisation,We investigated moxidectin in HepG2 cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2019,J Pharm Sci,1
30000021,Effect of niclosamide on Anopheles gambiae: a study of protein kinase C activation,We investigated niclosamide in Anopheles gambiae. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2019,J Pharm Sci,0
30000022,Effect of metformin on U87MG glioblastoma cells: a study of mass drug administration,We investigated metformin in U87MG glioblastoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2023,J Pharm Sci,0
