series,plate,dose_uM,viability_pct
full,P1,0.5,103.94
full,P1,1.5,100.21
full,P1,5.0,89.6
full,P1,15.0,82.46
full,P1,45.0,53.29
full,P1,135.0,25.52
full,P1,400.0,15.52
full,P1,1200.0,11.46
full,P2,0.5,98.26
full,P2,1.5,101.77
full,P2,5.0,94.24
full,P2,15.0,78.2
full,P2,45.0,53.89
full,P2,135.0,22.71
full,P2,400.0,16.59
full,P2,1200.0,2.74
full,P3,0.5,101.6
full,P3,1.5,96.63
full,P3,5.0,95.13
full,P3,15.0,78.61
full,P3,45.0,51.49
full,P3,135.0,24.82
full,P3,400.0,16.07
full,P3,1200.0,6.78
short,P1,1.0,103.85
short,P1,3.0,97.93
short,P1,10.0,87.02
short,P1,30.0,62.1
short,P1,100.0,27.01
short,P2,1.0,98.69
short,P2,3.0,98.62
short,P2,10.0,89.73
short,P2,30.0,65.59
short,P2,100.0,32.12
short,P3,1.0,100.37
short,P3,3.0,97.94
short,P3,10.0,89.09
short,P3,30.0,69.35
short,P3,100.0,30.16
