plate,treatment,well,viability_pct
P1,DMSO,P1_DMSO_1,90.67
P1,DMSO,P1_DMSO_2,89.45
P1,DMSO,P1_DMSO_3,88.06
P1,TMZ_50,P1_TMZ_50_1,82.69
P1,TMZ_50,P1_TMZ_50_2,79.41
P1,TMZ_50,P1_TMZ_50_3,82.52
P1,TMZ_100,P1_TMZ_100_1,77.96
P1,TMZ_100,P1_TMZ_100_2,74.01
P1,TMZ_100,P1_TMZ_100_3,76.15
P2,DMSO,P2_DMSO_1,95.93
P2,DMSO,P2_DMSO_2,98.79
P2,DMSO,P2_DMSO_3,95.77
P2,TMZ_50,P2_TMZ_50_1,90.82
P2,TMZ_50,P2_TMZ_50_2,93.16
P2,TMZ_50,P2_TMZ_50_3,91.72
P2,TMZ_100,P2_TMZ_100_1,85.95
P2,TMZ_100,P2_TMZ_100_2,87.2
P2,TMZ_100,P2_TMZ_100_3,83.89
P3,DMSO,P3_DMSO_1,110.92
P3,DMSO,P3_DMSO_2,106.35
P3,DMSO,P3_DMSO_3,109.7
P3,TMZ_50,P3_TMZ_50_1,100.62
P3,TMZ_50,P3_TMZ_50_2,101.33
P3,TMZ_50,P3_TMZ_50_3,102.46
P3,TMZ_100,P3_TMZ_100_1,95.06
P3,TMZ_100,P3_TMZ_100_2,94.85
P3,TMZ_100,P3_TMZ_100_3,96.42
P4,DMSO,P4_DMSO_1,99.77
P4,DMSO,P4_DMSO_2,103.55
P4,DMSO,P4_DMSO_3,104.28
P4,TMZ_50,P4_TMZ_50_1,93.58
P4,TMZ_50,P4_TMZ_50_2,96.22
P4,TMZ_50,P4_TMZ_50_3,97.58
P4,TMZ_100,P4_TMZ_100_1,88.82
P4,TMZ_100,P4_TMZ_100_2,88.86
P4,TMZ_100,P4_TMZ_100_3,87.78
