gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSG00000000,64,42,57,144,38,75
ENSG00000001,67,108,73,74,26,38
ENSG00000002,11,12,16,47,23,7
ENSG00000003,121,66,54,361,27,25
ENSG00000004,83,215,181,474,264,282
ENSG00000005,15,16,8,9,8,15
ENSG00000006,13,14,16,10,7,7
ENSG00000007,2,6,1,1,0,0
ENSG00000008,45,74,52,142,23,43
ENSG00000009,109,86,53,53,96,51
ENSG00000010,149,147,202,405,183,127
ENSG00000011,4,2,10,33,11,4
ENSG00000012,13,5,7,32,4,5
ENSG00000013,146,64,110,666,80,214
ENSG00000014,221,231,343,1192,596,479
ENSG00000015,111,26,69,77,59,33
ENSG00000016,53,45,55,132,16,41
ENSG00000017,70,67,32,212,86,52
ENSG00000018,6,5,10,6,3,5
ENSG00000019,39,33,15,33,12,19
ENSG00000020,13,9,10,24,8,12
ENSG00000021,197,325,217,570,218,302
ENSG00000022,117,237,113,275,73,71
ENSG00000023,194,156,698,767,413,339
ENSG00000024,15,2,12,24,15,4
ENSG00000025,427,377,567,1639,622,611
ENSG00000026,5,3,7,23,16,10
ENSG00000027,37,94,80,239,71,70
ENSG00000028,95,52,79,119,56,102
ENSG00000029,108,43,58,301,89,42
ENSG00000030,47,73,101,141,24,23
ENSG00000031,28,26,24,141,30,24
ENSG00000032,11,20,19,42,19,37
ENSG00000033,86,75,98,322,131,136
ENSG00000034,37,44,57,119,36,22
ENSG00000035,7,3,2,29,5,1
ENSG00000036,4,8,5,11,11,9
ENSG00000037,40,61,20,58,29,25
ENSG00000038,3,6,2,9,1,5
ENSG00000039,38,22,19,45,17,11
ENSG00000040,116,224,137,266,78,147
ENSG00000041,41,20,33,86,49,57
ENSG00000042,168,111,76,107,155,243
ENSG00000043,167,202,128,718,124,86
ENSG00000044,10,18,10,13,5,6
ENSG00000045,211,125,178,672,128,192
ENSG00000046,20,22,56,56,9,13
ENSG00000047,6,7,9,18,9,6
ENSG00000048,214,292,386,475,282,214
ENSG00000049,80,139,89,298,78,134
ENSG00000050,37,59,57,31,12,15
ENSG00000051,21,18,25,28,3,12
ENSG00000052,504,442,370,2032,1314,893
ENSG00000053,76,85,196,76,189,86
ENSG00000054,18,38,25,15,34,15
ENSG00000055,28,53,47,82,37,10
ENSG00000056,282,237,447,709,96,153
ENSG00000057,20,17,37,12,30,31
ENSG00000058,24,19,17,72,22,29
ENSG00000059,4322,1904,3209,7915,4065,4874
ENSG00000060,52,28,44,118,70,38
ENSG00000061,30,45,91,61,51,44
ENSG00000062,72,128,87,179,34,59
ENSG00000063,128,83,58,106,52,55
ENSG00000064,49,28,26,89,46,44
ENSG00000065,83,143,137,113,76,213
ENSG00000066,264,428,394,820,277,385
ENSG00000067,49,64,93,113,57,95
ENSG00000068,226,219,252,1050,275,285
ENSG00000069,6,5,8,69,10,16
ENSG00000070,3,2,4,4,0,3
ENSG00000071,89,90,97,648,100,208
ENSG00000072,598,940,1212,5775,2199,1274
ENSG00000073,59,28,83,77,15,35
ENSG00000074,17,14,34,15,11,10
ENSG00000075,51,41,77,34,31,37
ENSG00000076,725,813,842,2876,743,259
ENSG00000077,2,5,11,6,2,1
ENSG00000078,143,105,284,405,189,75
ENSG00000079,20,29,21,66,38,11
ENSG00000080,173,166,189,227,93,296
ENSG00000081,6,6,11,22,19,13
ENSG00000082,22,52,33,92,63,18
ENSG00000083,2,8,6,19,5,9
ENSG00000084,351,345,909,386,234,252
ENSG00000085,90,51,62,75,48,30
ENSG00000086,15,12,9,44,17,13
ENSG00000087,8,4,13,11,10,2
ENSG00000088,23,58,44,32,29,13
ENSG00000089,51,108,159,284,194,73
ENSG00000090,98,92,77,147,80,68
ENSG00000091,444,384,437,1209,1090,492
ENSG00000092,105,275,177,565,116,225
ENSG00000093,80,64,163,78,23,42
ENSG00000094,45,37,89,138,28,28
ENSG00000095,11,23,39,35,16,14
ENSG00000096,369,407,508,526,210,285
ENSG00000097,94,48,58,55,27,15
ENSG00000098,22,22,63,71,26,54
ENSG00000099,56,57,26,311,115,41
ENSG00000100,111,94,206,502,206,159
ENSG00000101,160,148,82,512,142,174
ENSG00000102,31,16,17,24,13,10
ENSG00000103,4,6,12,37,12,9
ENSG00000104,272,252,98,911,449,265
ENSG00000105,7,19,19,84,46,69
ENSG00000106,1,1,2,11,5,2
ENSG00000107,3,2,0,1,2,1
ENSG00000108,16,63,13,70,35,20
ENSG00000109,6,14,8,15,5,3
ENSG00000110,46,30,14,106,45,32
ENSG00000111,237,70,131,188,63,92
ENSG00000112,27,7,41,29,11,15
ENSG00000113,58,109,126,182,50,79
ENSG00000114,49,79,58,165,89,125
ENSG00000115,42,12,39,50,16,9
ENSG00000116,6,12,29,109,26,35
ENSG00000117,16,8,7,53,9,6
ENSG00000118,8,17,12,42,4,11
ENSG00000119,995,789,1255,1712,680,807
ENSG00000120,29,12,19,62,29,11
ENSG00000121,37,72,51,73,61,97
ENSG00000122,24,24,33,30,7,20
ENSG00000123,20,14,41,109,21,17
ENSG00000124,45,47,51,132,150,55
ENSG00000125,20,24,35,168,41,31
ENSG00000126,68,87,44,122,33,23
ENSG00000127,137,105,162,340,158,205
ENSG00000128,240,205,394,473,451,249
ENSG00000129,481,1051,579,4262,3037,2272
ENSG00000130,821,681,446,1982,398,554
ENSG00000131,58,99,76,94,95,114
ENSG00000132,216,158,94,329,413,208
ENSG00000133,54,44,113,507,148,103
ENSG00000134,0,1,1,1,1,0
ENSG00000135,354,498,304,1173,322,658
ENSG00000136,21,16,21,28,17,16
ENSG00000137,454,195,323,372,40,173
ENSG00000138,167,167,109,294,156,162
ENSG00000139,47,36,61,175,87,83
ENSG00000140,368,133,380,425,281,250
ENSG00000141,40,22,63,76,81,31
ENSG00000142,179,459,267,1561,303,570
ENSG00000143,7,9,6,39,3,10
ENSG00000144,39,33,48,121,67,73
ENSG00000145,3,1,1,5,3,2
ENSG00000146,29,37,28,28,23,35
ENSG00000147,14,29,14,37,22,3
ENSG00000148,11,12,18,25,10,5
ENSG00000149,4,15,18,28,21,5
ENSG00000150,201,130,37,247,96,289
ENSG00000151,7,5,10,19,4,11
ENSG00000152,83,32,37,346,42,82
ENSG00000153,264,326,704,540,224,184
ENSG00000154,7,11,15,38,11,20
ENSG00000155,106,49,51,151,83,39
ENSG00000156,103,114,117,239,55,39
ENSG00000157,4,3,0,20,0,2
ENSG00000158,13,8,18,15,9,1
ENSG00000159,2,11,11,6,6,2
ENSG00000160,7,19,22,74,33,33
ENSG00000161,336,325,345,740,266,311
ENSG00000162,150,53,95,531,64,178
ENSG00000163,74,53,75,304,83,71
ENSG00000164,76,129,206,453,178,211
ENSG00000165,13,13,30,25,13,13
ENSG00000166,103,141,158,395,172,66
ENSG00000167,32,21,50,153,66,43
ENSG00000168,313,356,178,317,188,181
ENSG00000169,44,72,36,137,76,58
ENSG00000170,11,15,7,20,9,5
ENSG00000171,6,1,7,17,5,4
ENSG00000172,14,11,16,27,14,19
ENSG00000173,22,12,17,41,28,24
ENSG00000174,23,39,16,159,88,102
ENSG00000175,122,51,66,96,117,151
ENSG00000176,2,11,25,39,19,9
ENSG00000177,20,46,66,133,47,42
ENSG00000178,21,12,19,33,12,35
ENSG00000179,15,7,17,15,10,11
ENSG00000180,434,794,599,609,296,451
ENSG00000181,5,9,13,51,4,9
ENSG00000182,64,49,36,60,43,24
ENSG00000183,14,28,23,24,21,20
ENSG00000184,133,126,46,144,42,77
ENSG00000185,48,55,46,134,89,48
ENSG00000186,191,172,444,343,271,169
ENSG00000187,119,70,98,132,55,46
ENSG00000188,26,14,18,36,22,15
ENSG00000189,7,10,16,23,7,4
ENSG00000190,508,700,365,738,283,403
ENSG00000191,5,13,11,35,11,12
ENSG00000192,39,43,72,137,16,54
ENSG00000193,4,0,3,1,1,2
ENSG00000194,20,36,17,53,47,20
ENSG00000195,5,8,3,11,2,2
ENSG00000196,39,22,38,235,66,24
ENSG00000197,170,87,83,88,34,64
ENSG00000198,1111,563,1107,943,910,1169
ENSG00000199,32,81,77,279,47,118
ENSG00000200,39,35,61,58,95,30
ENSG00000201,34,28,13,108,14,15
ENSG00000202,44,27,51,244,68,111
ENSG00000203,11,11,32,62,39,21
ENSG00000204,23,27,10,75,15,39
