gene_id,true_lfc
ENSG00005631,-1.465
ENSG00010245,1.105
ENSG00002143,-1.538
ENSG00003536,-2.264
ENSG00013295,-1.851
ENSG00002379,-2.235
ENSG00016766,-1.538
ENSG00002384,-1.506
ENSG00016831,-1.958
ENSG00008549,1.193
ENSG00017200,-2.072
ENSG00004876,2.05
ENSG00000050,-2.067
ENSG00006266,-1.74
ENSG00014846,-1.124
ENSG00010688,2.127
ENSG00014418,-1.335
ENSG00001237,1.058
ENSG00017188,-1.163
ENSG00001277,-2.28
ENSG00007428,-2.294
ENSG00003014,-2.346
ENSG00001368,-1.862
ENSG00014966,-1.387
ENSG00006498,1.625
ENSG00008762,-1.378
ENSG00015638,-2.186
ENSG00012245,2.376
ENSG00016885,1.743
ENSG00015834,-1.89
ENSG00009997,2.302
ENSG00014158,1.674
ENSG00000908,-2.148
ENSG00007071,2.309
ENSG00005876,1.986
ENSG00019546,-1.731
ENSG00013801,-2.3
ENSG00014180,2.172
ENSG00009732,-1.609
ENSG00014135,-1.056
ENSG00014406,-1.882
ENSG00008465,1.241
ENSG00016788,1.716
ENSG00005503,1.703
ENSG00010400,-1.027
ENSG00010510,-1.072
ENSG00011720,-2.047
ENSG00016842,-2.28
ENSG00005524,-1.782
ENSG00008515,2.149
ENSG00003458,-2.268
ENSG00013120,1.148
ENSG00005476,-1.502
ENSG00013309,1.413
ENSG00004101,-1.31
ENSG00006274,1.939
ENSG00000007,-1.637
ENSG00010102,1.355
ENSG00007465,-1.275
ENSG00006742,-1.58
ENSG00005724,-1.933
ENSG00018145,1.06
ENSG00000423,-2.401
ENSG00009704,-1.569
ENSG00018768,-1.208
ENSG00012617,-1.023
ENSG00019151,-2.366
ENSG00018173,-1.386
ENSG00001032,-1.298
ENSG00011365,-1.401
ENSG00005165,2.221
ENSG00005374,-1.771
ENSG00019653,1.45
ENSG00010593,-1.765
ENSG00013569,1.596
ENSG00011839,-2.348
ENSG00019537,2.031
ENSG00011376,1.178
ENSG00011026,-1.184
ENSG00001460,1.971
ENSG00013650,-1.493
ENSG00009425,-1.197
ENSG00010888,-2.287
ENSG00015724,-2.197
ENSG00002008,-2.056
ENSG00000452,-1.573
ENSG00012723,1.105
ENSG00005172,-1.486
ENSG00009632,2.11
ENSG00013675,1.428
ENSG00002348,-1.437
ENSG00006157,-1.934
ENSG00007017,1.619
ENSG00014503,1.396
ENSG00014332,1.651
ENSG00004987,1.431
ENSG00019576,-1.115
ENSG00000551,-1.633
ENSG00007952,1.891
ENSG00001897,2.241
ENSG00002520,1.965
ENSG00004389,-2.249
ENSG00011141,1.428
ENSG00010935,-1.657
ENSG00010115,-2.116
ENSG00016160,2.116
ENSG00015342,1.527
ENSG00006141,1.602
ENSG00016632,-1.639
ENSG00005771,-2.412
ENSG00015717,1.996
ENSG00018569,-2.339
ENSG00019281,-1.38
ENSG00019282,1.364
ENSG00003526,-2.475
ENSG00019202,1.281
ENSG00016609,1.057
ENSG00005086,-1.637
ENSG00001934,-1.091
ENSG00003863,1.577
ENSG00001552,-2.108
ENSG00018572,-2.217
ENSG00014634,-1.885
ENSG00019913,-2.037
ENSG00002738,1.504
ENSG00010240,1.176
ENSG00007562,2.08
ENSG00002138,2.356
ENSG00000335,2.124
ENSG00019915,1.721
ENSG00007136,-1.974
ENSG00016406,-2.498
ENSG00015734,2.441
ENSG00000410,-1.345
ENSG00014642,1.392
ENSG00002880,-1.824
ENSG00017464,1.837
ENSG00002494,-1.057
ENSG00014383,-1.803
ENSG00014722,-1.083
ENSG00009693,1.144
ENSG00019363,-1.033
ENSG00010170,1.307
ENSG00006068,2.326
ENSG00018375,-1.905
ENSG00003761,2.036
ENSG00016583,1.09
ENSG00000712,-2.285
ENSG00018054,-1.504
ENSG00018588,-2.497
ENSG00004037,2.15
ENSG00000071,1.687
ENSG00017928,2.491
ENSG00012372,1.683
ENSG00019593,-1.911
ENSG00007878,-1.512
ENSG00014421,1.078
ENSG00002225,-1.74
ENSG00006686,-1.056
ENSG00009689,-2.408
ENSG00001293,-2.101
ENSG00010120,1.293
ENSG00000097,-1.632
ENSG00010738,1.514
ENSG00012947,1.434
ENSG00017951,1.933
ENSG00005568,2.117
ENSG00012036,2.389
ENSG00007472,-1.75
ENSG00015028,1.187
ENSG00000602,1.76
ENSG00015330,2.376
ENSG00001376,-1.512
ENSG00011580,2.463
ENSG00000507,2.346
ENSG00019360,1.589
ENSG00002956,2.303
ENSG00001686,1.759
ENSG00013414,2.429
ENSG00007607,-1.811
ENSG00011192,-1.408
ENSG00012393,2.121
ENSG00008940,1.145
ENSG00019269,1.105
ENSG00015791,1.141
ENSG00008356,1.255
ENSG00006806,1.813
ENSG00015503,-1.829
ENSG00019108,-1.171
ENSG00010224,2.276
ENSG00000353,1.098
ENSG00017281,2.295
ENSG00002376,1.731
ENSG00010875,-2.457
ENSG00012315,1.184
ENSG00001381,1.512
ENSG00019349,1.544
ENSG00011178,2.187
ENSG00007070,1.772
ENSG00011925,-1.392
