row,col,edge,dose_uM,viability_pct
A,1,True,0.5,115.27147340075773
A,2,True,1.5,114.62607466125947
A,3,True,5.0,112.12932830733541
A,4,True,15.0,93.88958080659923
A,5,True,45.0,60.056109917167404
A,6,True,135.0,28.969959026239113
A,7,True,400.0,13.229153197197931
A,8,True,1200.0,11.713847575848941
A,9,True,0.5,121.93999620895124
A,10,True,1.5,114.61119072082272
A,11,True,5.0,112.41732451101932
A,12,True,15.0,95.08609498342965
B,1,True,0.5,116.84851786243598
B,2,False,1.5,97.77054941027569
B,3,False,5.0,94.93832690641081
B,4,False,15.0,79.59423273354649
B,5,False,45.0,53.53536629729445
B,6,False,135.0,23.8269302347769
B,7,False,400.0,8.382984273346004
B,8,False,1200.0,7.681315923559012
B,9,False,0.5,99.08072342490199
B,10,False,1.5,99.3444871973274
B,11,False,5.0,94.42152650211304
B,12,True,15.0,97.972425291554
C,1,True,0.5,116.17806619828222
C,2,False,1.5,96.88609660260302
C,3,False,5.0,96.51016520967981
C,4,False,15.0,78.10422108562032
C,5,False,45.0,56.20786828994091
C,6,False,135.0,27.953428645373933
C,7,False,400.0,8.548380211225687
C,8,False,1200.0,13.88150751550729
C,9,False,0.5,99.27481077564498
C,10,False,1.5,97.44685182088554
C,11,False,5.0,97.2179762137239
C,12,True,15.0,100.9811196542336
D,1,True,0.5,116.8748308164325
D,2,False,1.5,99.74854376116295
D,3,False,5.0,94.78880804567642
D,4,False,15.0,82.19955908728339
D,5,False,45.0,50.86869618615721
D,6,False,135.0,24.243374946494313
D,7,False,400.0,10.169365158200197
D,8,False,1200.0,8.005507774527537
D,9,False,0.5,99.39354122521036
D,10,False,1.5,98.53838352175524
D,11,False,5.0,94.54857003522712
D,12,True,15.0,96.54231478645494
E,1,True,0.5,115.99636269636957
E,2,False,1.5,99.94032114641165
E,3,False,5.0,98.12977145734297
E,4,False,15.0,81.2842071403365
E,5,False,45.0,55.218717613354634
E,6,False,135.0,23.700558857762356
E,7,False,400.0,13.043699953071062
E,8,False,1200.0,11.506127677879784
E,9,False,0.5,101.30880071683434
E,10,False,1.5,97.74844449713416
E,11,False,5.0,91.13595654012516
E,12,True,15.0,96.43185285384256
F,1,True,0.5,119.66009046733674
F,2,False,1.5,99.28745092116158
F,3,False,5.0,98.10850803126836
F,4,False,15.0,81.21639611179772
F,5,False,45.0,51.71045290234678
F,6,False,135.0,24.00346518007754
F,7,False,400.0,15.138002666835533
F,8,False,1200.0,9.118002902577068
F,9,False,0.5,97.79691216192677
F,10,False,1.5,96.336755197259
F,11,False,5.0,92.17752347033034
F,12,True,15.0,95.21700954662037
G,1,True,0.5,118.90165222938757
G,2,False,1.5,98.48557626500585
G,3,False,5.0,92.93327061287738
G,4,False,15.0,77.29312961761191
G,5,False,45.0,47.67734791543824
G,6,False,135.0,24.922064735199328
G,7,False,400.0,12.062243228280101
G,8,False,1200.0,7.15809852305931
G,9,False,0.5,102.52126089669243
G,10,False,1.5,98.86827449559244
G,11,False,5.0,91.75112745966715
G,12,True,15.0,96.20087224202126
H,1,True,0.5,116.47050033915085
H,2,True,1.5,121.29036760635546
H,3,True,5.0,115.55528511201783
H,4,True,15.0,92.88403965861444
H,5,True,45.0,62.72298492529471
H,6,True,135.0,28.61997269794674
H,7,True,400.0,10.947635912124216
H,8,True,1200.0,14.445203805115755
H,9,True,0.5,120.41067741212319
H,10,True,1.5,114.61955972362901
H,11,True,5.0,111.60484651825655
H,12,True,15.0,94.08669140315932
